Country,Month,Year,Average Policy Change, Standard Deviation
USA (EOIR),May,2001,0.0105219608044,0.0589581785151
Finland,May,2001,-0.00646054599703,0.0183896581062
Sweden,May,2001,0.0145015087341,0.0538191819412
Australia,May,2001,-0.00108269909272,0.061318954853
Czech Rep.,May,2001,0.00917815611008,0.0461486696663
Portugal,May,2001,0.00227326525304,0.00666451376595
Cyprus,May,2001,0.00499897600455,0.0125481376903
Liechtenstein,May,2001,0.00251753769117,0.00168996651634
Austria,May,2001,-0.00136240715687,0.0317195718755
Hungary,May,2001,-0.00135791473336,0.0160290310464
United Kingdom of Great Britain and Northern Ireland,May,2001,-0.0139214361714,0.111216930738
Luxembourg,May,2001,0.000479609613704,0.00507568880308
Ireland,May,2001,-0.00254507492218,0.0724860938843
USA (INS/DHS),May,2001,-0.00554444900307,0.0568156911352
Belgium,May,2001,-0.041297396276,0.0941501766894
Poland,May,2001,-0.00519225059424,0.0302571369126
Switzerland,May,2001,-0.000680400397365,0.0313021947006
Denmark,May,2001,0.00405064729638,0.0484216427384
Greece,May,2001,-0.00877128630019,0.0407636799597
Canada,January,2008,0.0225797608695,0.141197594113
Lithuania,January,2008,0.00102995910222,0.0
Slovenia,January,2008,0.00626850582859,0.0195029726264
Germany,January,2008,0.0026593362983,0.0472862125398
Spain,January,2008,-0.0143442698392,0.047829169504
Netherlands,January,2008,-0.00133053434592,0.0207820300127
New Zealand,January,2008,-0.000439132518877,0.00275304274545
Hungary,January,2008,-0.0374940706968,0.143009738598
France,January,2008,-0.0046047145876,0.114442968799
Slovakia,January,2008,-0.0236339884476,0.0349474249786
Norway,January,2008,0.0010280879704,0.0329065099228
USA (EOIR),January,2008,0.0206386507229,0.100723016239
Finland,January,2008,0.00113721082975,0.0109873890376
Sweden,January,2008,0.0185518416151,0.116778106668
Australia,January,2008,-0.00316402556716,0.129020994519
Bulgaria,January,2008,-0.000585942553385,0.0059050007438
Romania,January,2008,-0.0031681054083,0.0071439868277
Czech Rep.,January,2008,0.00973343479806,0.0478307551288
